
 a1 =   2.372555703  -4.109388686   0.000000000
 a2 =   2.372555703   4.109388686   0.000000000
 a3 =   0.000000000   0.000000000  28.345889829

 b1 =   1.324138628  -0.764491484   0.000000000
 b2 =   1.324138628   0.764491484  -0.000000000
 b3 =  -0.000000000   0.000000000   0.221661248

 volume = 552.730880703

 cutoff = 6.000000000

 grid = ( 3 3 23 ) -- minimal
        ( 3 3 24 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 3 3 24 ) -- factors 2, 3, 5

 max g-vector indices = ( 1 1 11 )

 k-point =   0.000000000   0.000000000   0.000000000

 ng = 125

     n      g1    g2    g3          gx        gy        gz              ekin
 ---------------------------------------------------------------------------
     1       0     0     0       0.000     0.000     0.000       0.000000000
     2       0     0    -1       0.000     0.000    -0.222       0.049133709
     3       0     0     1       0.000     0.000     0.222       0.049133709
     4       0     0    -2       0.000     0.000    -0.443       0.196534835
     5       0     0     2       0.000     0.000     0.443       0.196534835
     6       0     0    -3       0.000     0.000    -0.665       0.442203379
     7       0     0     3       0.000     0.000     0.665       0.442203379
     8       0     0    -4       0.000     0.000    -0.887       0.786139340
     9       0     0     4       0.000     0.000     0.887       0.786139340
    10       0     0    -5       0.000     0.000    -1.108       1.228342719
    11       0     0     5       0.000     0.000     1.108       1.228342719
    12       0     0    -6       0.000     0.000    -1.330       1.768813515
    13       0     0     6       0.000     0.000     1.330       1.768813515
    14      -1     1     0       0.000     1.529     0.000       2.337788914
    15       1    -1     0       0.000    -1.529     0.000       2.337788914
    16      -1     0     0      -1.324     0.764     0.000       2.337790335
    17       0    -1     0      -1.324    -0.764     0.000       2.337790335
    18       0     1     0       1.324     0.764     0.000       2.337790335
    19       1     0     0       1.324    -0.764     0.000       2.337790335
    20      -1     1    -1       0.000     1.529    -0.222       2.386922623
    21      -1     1     1       0.000     1.529     0.222       2.386922623
    22       1    -1    -1       0.000    -1.529    -0.222       2.386922623
    23       1    -1     1       0.000    -1.529     0.222       2.386922623
    24      -1     0    -1      -1.324     0.764    -0.222       2.386924044
    25      -1     0     1      -1.324     0.764     0.222       2.386924044
    26       0    -1    -1      -1.324    -0.764    -0.222       2.386924044
    27       0    -1     1      -1.324    -0.764     0.222       2.386924044
    28       0     1    -1       1.324     0.764    -0.222       2.386924044
    29       0     1     1       1.324     0.764     0.222       2.386924044
    30       1     0    -1       1.324    -0.764    -0.222       2.386924044
    31       1     0     1       1.324    -0.764     0.222       2.386924044
    32       0     0    -7       0.000     0.000    -1.552       2.407551728
    33       0     0     7       0.000     0.000     1.552       2.407551728
    34      -1     1    -2       0.000     1.529    -0.443       2.534323749
    35      -1     1     2       0.000     1.529     0.443       2.534323749
    36       1    -1    -2       0.000    -1.529    -0.443       2.534323749
    37       1    -1     2       0.000    -1.529     0.443       2.534323749
    38      -1     0    -2      -1.324     0.764    -0.443       2.534325170
    39      -1     0     2      -1.324     0.764     0.443       2.534325170
    40       0    -1    -2      -1.324    -0.764    -0.443       2.534325170
    41       0    -1     2      -1.324    -0.764     0.443       2.534325170
    42       0     1    -2       1.324     0.764    -0.443       2.534325170
    43       0     1     2       1.324     0.764     0.443       2.534325170
    44       1     0    -2       1.324    -0.764    -0.443       2.534325170
    45       1     0     2       1.324    -0.764     0.443       2.534325170
    46      -1     1    -3       0.000     1.529    -0.665       2.779992293
    47      -1     1     3       0.000     1.529     0.665       2.779992293
    48       1    -1    -3       0.000    -1.529    -0.665       2.779992293
    49       1    -1     3       0.000    -1.529     0.665       2.779992293
    50      -1     0    -3      -1.324     0.764    -0.665       2.779993714
    51      -1     0     3      -1.324     0.764     0.665       2.779993714
    52       0    -1    -3      -1.324    -0.764    -0.665       2.779993714
    53       0    -1     3      -1.324    -0.764     0.665       2.779993714
    54       0     1    -3       1.324     0.764    -0.665       2.779993714
    55       0     1     3       1.324     0.764     0.665       2.779993714
    56       1     0    -3       1.324    -0.764    -0.665       2.779993714
    57       1     0     3       1.324    -0.764     0.665       2.779993714
    58      -1     1    -4       0.000     1.529    -0.887       3.123928254
    59      -1     1     4       0.000     1.529     0.887       3.123928254
    60       1    -1    -4       0.000    -1.529    -0.887       3.123928254
    61       1    -1     4       0.000    -1.529     0.887       3.123928254
    62      -1     0    -4      -1.324     0.764    -0.887       3.123929675
    63      -1     0     4      -1.324     0.764     0.887       3.123929675
    64       0    -1    -4      -1.324    -0.764    -0.887       3.123929675
    65       0    -1     4      -1.324    -0.764     0.887       3.123929675
    66       0     1    -4       1.324     0.764    -0.887       3.123929675
    67       0     1     4       1.324     0.764     0.887       3.123929675
    68       1     0    -4       1.324    -0.764    -0.887       3.123929675
    69       1     0     4       1.324    -0.764     0.887       3.123929675
    70       0     0    -8       0.000     0.000    -1.773       3.144557359
    71       0     0     8       0.000     0.000     1.773       3.144557359
    72      -1     1    -5       0.000     1.529    -1.108       3.566131633
    73      -1     1     5       0.000     1.529     1.108       3.566131633
    74       1    -1    -5       0.000    -1.529    -1.108       3.566131633
    75       1    -1     5       0.000    -1.529     1.108       3.566131633
    76      -1     0    -5      -1.324     0.764    -1.108       3.566133053
    77      -1     0     5      -1.324     0.764     1.108       3.566133053
    78       0    -1    -5      -1.324    -0.764    -1.108       3.566133053
    79       0    -1     5      -1.324    -0.764     1.108       3.566133053
    80       0     1    -5       1.324     0.764    -1.108       3.566133053
    81       0     1     5       1.324     0.764     1.108       3.566133053
    82       1     0    -5       1.324    -0.764    -1.108       3.566133053
    83       1     0     5       1.324    -0.764     1.108       3.566133053
    84       0     0    -9       0.000     0.000    -1.995       3.979830408
    85       0     0     9       0.000     0.000     1.995       3.979830408
    86      -1     1    -6       0.000     1.529    -1.330       4.106602429
    87      -1     1     6       0.000     1.529     1.330       4.106602429
    88       1    -1    -6       0.000    -1.529    -1.330       4.106602429
    89       1    -1     6       0.000    -1.529     1.330       4.106602429
    90      -1     0    -6      -1.324     0.764    -1.330       4.106603850
    91      -1     0     6      -1.324     0.764     1.330       4.106603850
    92       0    -1    -6      -1.324    -0.764    -1.330       4.106603850
    93       0    -1     6      -1.324    -0.764     1.330       4.106603850
    94       0     1    -6       1.324     0.764    -1.330       4.106603850
    95       0     1     6       1.324     0.764     1.330       4.106603850
    96       1     0    -6       1.324    -0.764    -1.330       4.106603850
    97       1     0     6       1.324    -0.764     1.330       4.106603850
    98      -1     1    -7       0.000     1.529    -1.552       4.745340643
    99      -1     1     7       0.000     1.529     1.552       4.745340643
   100       1    -1    -7       0.000    -1.529    -1.552       4.745340643
   101       1    -1     7       0.000    -1.529     1.552       4.745340643
   102      -1     0    -7      -1.324     0.764    -1.552       4.745342063
   103      -1     0     7      -1.324     0.764     1.552       4.745342063
   104       0    -1    -7      -1.324    -0.764    -1.552       4.745342063
   105       0    -1     7      -1.324    -0.764     1.552       4.745342063
   106       0     1    -7       1.324     0.764    -1.552       4.745342063
   107       0     1     7       1.324     0.764     1.552       4.745342063
   108       1     0    -7       1.324    -0.764    -1.552       4.745342063
   109       1     0     7       1.324    -0.764     1.552       4.745342063
   110       0     0   -10       0.000     0.000    -2.217       4.913370874
   111       0     0    10       0.000     0.000     2.217       4.913370874
   112      -1     1    -8       0.000     1.529    -1.773       5.482346274
   113      -1     1     8       0.000     1.529     1.773       5.482346274
   114       1    -1    -8       0.000    -1.529    -1.773       5.482346274
   115       1    -1     8       0.000    -1.529     1.773       5.482346274
   116      -1     0    -8      -1.324     0.764    -1.773       5.482347694
   117      -1     0     8      -1.324     0.764     1.773       5.482347694
   118       0    -1    -8      -1.324    -0.764    -1.773       5.482347694
   119       0    -1     8      -1.324    -0.764     1.773       5.482347694
   120       0     1    -8       1.324     0.764    -1.773       5.482347694
   121       0     1     8       1.324     0.764     1.773       5.482347694
   122       1     0    -8       1.324    -0.764    -1.773       5.482347694
   123       1     0     8       1.324    -0.764     1.773       5.482347694
   124       0     0   -11       0.000     0.000    -2.438       5.945178758
   125       0     0    11       0.000     0.000     2.438       5.945178758

