
 a1 =  10.171856963   0.000000000   0.000000000
 a2 =   0.000000000  10.171856963   0.000000000
 a3 =   0.000000000   0.000000000  10.171856963

 b1 =   0.617702877   0.000000000   0.000000000
 b2 =   0.000000000   0.617702877   0.000000000
 b3 =   0.000000000   0.000000000   0.617702877

 volume = 1052.448209136

 cutoff = 10.000000000

 grid = ( 11 11 11 ) -- minimal
        ( 11 11 11 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 12 12 12 ) -- factors 2, 3, 5

 ng = 587

     n   g1    g2    g3     gx        gy        gz        ekin
 --------------------------------------------------------------------
     1     0     0     0     0.000     0.000     0.000     0.000000000
     2    -1     0     0    -0.618     0.000     0.000     0.381556844
     3     0    -1     0     0.000    -0.618     0.000     0.381556844
     4     0     0    -1     0.000     0.000    -0.618     0.381556844
     5     0     0     1     0.000     0.000     0.618     0.381556844
     6     0     1     0     0.000     0.618     0.000     0.381556844
     7     1     0     0     0.618     0.000     0.000     0.381556844
     8    -1    -1     0    -0.618    -0.618     0.000     0.763113688
     9    -1     0    -1    -0.618     0.000    -0.618     0.763113688
    10    -1     0     1    -0.618     0.000     0.618     0.763113688
    11    -1     1     0    -0.618     0.618     0.000     0.763113688
    12     0    -1    -1     0.000    -0.618    -0.618     0.763113688
    13     0    -1     1     0.000    -0.618     0.618     0.763113688
    14     0     1    -1     0.000     0.618    -0.618     0.763113688
    15     0     1     1     0.000     0.618     0.618     0.763113688
    16     1    -1     0     0.618    -0.618     0.000     0.763113688
    17     1     0    -1     0.618     0.000    -0.618     0.763113688
    18     1     0     1     0.618     0.000     0.618     0.763113688
    19     1     1     0     0.618     0.618     0.000     0.763113688
    20    -1    -1    -1    -0.618    -0.618    -0.618     1.144670532
    21    -1    -1     1    -0.618    -0.618     0.618     1.144670532
    22    -1     1    -1    -0.618     0.618    -0.618     1.144670532
    23    -1     1     1    -0.618     0.618     0.618     1.144670532
    24     1    -1    -1     0.618    -0.618    -0.618     1.144670532
    25     1    -1     1     0.618    -0.618     0.618     1.144670532
    26     1     1    -1     0.618     0.618    -0.618     1.144670532
    27     1     1     1     0.618     0.618     0.618     1.144670532
    28    -2     0     0    -1.235     0.000     0.000     1.526227375
    29     0    -2     0     0.000    -1.235     0.000     1.526227375
    30     0     0    -2     0.000     0.000    -1.235     1.526227375
    31     0     0     2     0.000     0.000     1.235     1.526227375
    32     0     2     0     0.000     1.235     0.000     1.526227375
    33     2     0     0     1.235     0.000     0.000     1.526227375
    34    -2    -1     0    -1.235    -0.618     0.000     1.907784219
    35    -2     0    -1    -1.235     0.000    -0.618     1.907784219
    36    -2     0     1    -1.235     0.000     0.618     1.907784219
    37    -2     1     0    -1.235     0.618     0.000     1.907784219
    38    -1    -2     0    -0.618    -1.235     0.000     1.907784219
    39    -1     0    -2    -0.618     0.000    -1.235     1.907784219
    40    -1     0     2    -0.618     0.000     1.235     1.907784219
    41    -1     2     0    -0.618     1.235     0.000     1.907784219
    42     0    -2    -1     0.000    -1.235    -0.618     1.907784219
    43     0    -2     1     0.000    -1.235     0.618     1.907784219
    44     0    -1    -2     0.000    -0.618    -1.235     1.907784219
    45     0    -1     2     0.000    -0.618     1.235     1.907784219
    46     0     1    -2     0.000     0.618    -1.235     1.907784219
    47     0     1     2     0.000     0.618     1.235     1.907784219
    48     0     2    -1     0.000     1.235    -0.618     1.907784219
    49     0     2     1     0.000     1.235     0.618     1.907784219
    50     1    -2     0     0.618    -1.235     0.000     1.907784219
    51     1     0    -2     0.618     0.000    -1.235     1.907784219
    52     1     0     2     0.618     0.000     1.235     1.907784219
    53     1     2     0     0.618     1.235     0.000     1.907784219
    54     2    -1     0     1.235    -0.618     0.000     1.907784219
    55     2     0    -1     1.235     0.000    -0.618     1.907784219
    56     2     0     1     1.235     0.000     0.618     1.907784219
    57     2     1     0     1.235     0.618     0.000     1.907784219
    58    -2    -1    -1    -1.235    -0.618    -0.618     2.289341063
    59    -2    -1     1    -1.235    -0.618     0.618     2.289341063
    60    -2     1    -1    -1.235     0.618    -0.618     2.289341063
    61    -2     1     1    -1.235     0.618     0.618     2.289341063
    62    -1    -2    -1    -0.618    -1.235    -0.618     2.289341063
    63    -1    -2     1    -0.618    -1.235     0.618     2.289341063
    64    -1    -1    -2    -0.618    -0.618    -1.235     2.289341063
    65    -1    -1     2    -0.618    -0.618     1.235     2.289341063
    66    -1     1    -2    -0.618     0.618    -1.235     2.289341063
    67    -1     1     2    -0.618     0.618     1.235     2.289341063
    68    -1     2    -1    -0.618     1.235    -0.618     2.289341063
    69    -1     2     1    -0.618     1.235     0.618     2.289341063
    70     1    -2    -1     0.618    -1.235    -0.618     2.289341063
    71     1    -2     1     0.618    -1.235     0.618     2.289341063
    72     1    -1    -2     0.618    -0.618    -1.235     2.289341063
    73     1    -1     2     0.618    -0.618     1.235     2.289341063
    74     1     1    -2     0.618     0.618    -1.235     2.289341063
    75     1     1     2     0.618     0.618     1.235     2.289341063
    76     1     2    -1     0.618     1.235    -0.618     2.289341063
    77     1     2     1     0.618     1.235     0.618     2.289341063
    78     2    -1    -1     1.235    -0.618    -0.618     2.289341063
    79     2    -1     1     1.235    -0.618     0.618     2.289341063
    80     2     1    -1     1.235     0.618    -0.618     2.289341063
    81     2     1     1     1.235     0.618     0.618     2.289341063
    82    -2    -2     0    -1.235    -1.235     0.000     3.052454751
    83    -2     0    -2    -1.235     0.000    -1.235     3.052454751
    84    -2     0     2    -1.235     0.000     1.235     3.052454751
    85    -2     2     0    -1.235     1.235     0.000     3.052454751
    86     0    -2    -2     0.000    -1.235    -1.235     3.052454751
    87     0    -2     2     0.000    -1.235     1.235     3.052454751
    88     0     2    -2     0.000     1.235    -1.235     3.052454751
    89     0     2     2     0.000     1.235     1.235     3.052454751
    90     2    -2     0     1.235    -1.235     0.000     3.052454751
    91     2     0    -2     1.235     0.000    -1.235     3.052454751
    92     2     0     2     1.235     0.000     1.235     3.052454751
    93     2     2     0     1.235     1.235     0.000     3.052454751
    94    -3     0     0    -1.853     0.000     0.000     3.434011595
    95    -2    -2    -1    -1.235    -1.235    -0.618     3.434011595
    96    -2    -2     1    -1.235    -1.235     0.618     3.434011595
    97    -2    -1    -2    -1.235    -0.618    -1.235     3.434011595
    98    -2    -1     2    -1.235    -0.618     1.235     3.434011595
    99    -2     1    -2    -1.235     0.618    -1.235     3.434011595
   100    -2     1     2    -1.235     0.618     1.235     3.434011595
   101    -2     2    -1    -1.235     1.235    -0.618     3.434011595
   102    -2     2     1    -1.235     1.235     0.618     3.434011595
   103    -1    -2    -2    -0.618    -1.235    -1.235     3.434011595
   104    -1    -2     2    -0.618    -1.235     1.235     3.434011595
   105    -1     2    -2    -0.618     1.235    -1.235     3.434011595
   106    -1     2     2    -0.618     1.235     1.235     3.434011595
   107     0    -3     0     0.000    -1.853     0.000     3.434011595
   108     0     0    -3     0.000     0.000    -1.853     3.434011595
   109     0     0     3     0.000     0.000     1.853     3.434011595
   110     0     3     0     0.000     1.853     0.000     3.434011595
   111     1    -2    -2     0.618    -1.235    -1.235     3.434011595
   112     1    -2     2     0.618    -1.235     1.235     3.434011595
   113     1     2    -2     0.618     1.235    -1.235     3.434011595
   114     1     2     2     0.618     1.235     1.235     3.434011595
   115     2    -2    -1     1.235    -1.235    -0.618     3.434011595
   116     2    -2     1     1.235    -1.235     0.618     3.434011595
   117     2    -1    -2     1.235    -0.618    -1.235     3.434011595
   118     2    -1     2     1.235    -0.618     1.235     3.434011595
   119     2     1    -2     1.235     0.618    -1.235     3.434011595
   120     2     1     2     1.235     0.618     1.235     3.434011595
   121     2     2    -1     1.235     1.235    -0.618     3.434011595
   122     2     2     1     1.235     1.235     0.618     3.434011595
   123     3     0     0     1.853     0.000     0.000     3.434011595
   124    -3    -1     0    -1.853    -0.618     0.000     3.815568439
   125    -3     0    -1    -1.853     0.000    -0.618     3.815568439
   126    -3     0     1    -1.853     0.000     0.618     3.815568439
   127    -3     1     0    -1.853     0.618     0.000     3.815568439
   128    -1    -3     0    -0.618    -1.853     0.000     3.815568439
   129    -1     0    -3    -0.618     0.000    -1.853     3.815568439
   130    -1     0     3    -0.618     0.000     1.853     3.815568439
   131    -1     3     0    -0.618     1.853     0.000     3.815568439
   132     0    -3    -1     0.000    -1.853    -0.618     3.815568439
   133     0    -3     1     0.000    -1.853     0.618     3.815568439
   134     0    -1    -3     0.000    -0.618    -1.853     3.815568439
   135     0    -1     3     0.000    -0.618     1.853     3.815568439
   136     0     1    -3     0.000     0.618    -1.853     3.815568439
   137     0     1     3     0.000     0.618     1.853     3.815568439
   138     0     3    -1     0.000     1.853    -0.618     3.815568439
   139     0     3     1     0.000     1.853     0.618     3.815568439
   140     1    -3     0     0.618    -1.853     0.000     3.815568439
   141     1     0    -3     0.618     0.000    -1.853     3.815568439
   142     1     0     3     0.618     0.000     1.853     3.815568439
   143     1     3     0     0.618     1.853     0.000     3.815568439
   144     3    -1     0     1.853    -0.618     0.000     3.815568439
   145     3     0    -1     1.853     0.000    -0.618     3.815568439
   146     3     0     1     1.853     0.000     0.618     3.815568439
   147     3     1     0     1.853     0.618     0.000     3.815568439
   148    -3    -1    -1    -1.853    -0.618    -0.618     4.197125282
   149    -3    -1     1    -1.853    -0.618     0.618     4.197125282
   150    -3     1    -1    -1.853     0.618    -0.618     4.197125282
   151    -3     1     1    -1.853     0.618     0.618     4.197125282
   152    -1    -3    -1    -0.618    -1.853    -0.618     4.197125282
   153    -1    -3     1    -0.618    -1.853     0.618     4.197125282
   154    -1    -1    -3    -0.618    -0.618    -1.853     4.197125282
   155    -1    -1     3    -0.618    -0.618     1.853     4.197125282
   156    -1     1    -3    -0.618     0.618    -1.853     4.197125282
   157    -1     1     3    -0.618     0.618     1.853     4.197125282
   158    -1     3    -1    -0.618     1.853    -0.618     4.197125282
   159    -1     3     1    -0.618     1.853     0.618     4.197125282
   160     1    -3    -1     0.618    -1.853    -0.618     4.197125282
   161     1    -3     1     0.618    -1.853     0.618     4.197125282
   162     1    -1    -3     0.618    -0.618    -1.853     4.197125282
   163     1    -1     3     0.618    -0.618     1.853     4.197125282
   164     1     1    -3     0.618     0.618    -1.853     4.197125282
   165     1     1     3     0.618     0.618     1.853     4.197125282
   166     1     3    -1     0.618     1.853    -0.618     4.197125282
   167     1     3     1     0.618     1.853     0.618     4.197125282
   168     3    -1    -1     1.853    -0.618    -0.618     4.197125282
   169     3    -1     1     1.853    -0.618     0.618     4.197125282
   170     3     1    -1     1.853     0.618    -0.618     4.197125282
   171     3     1     1     1.853     0.618     0.618     4.197125282
   172    -2    -2    -2    -1.235    -1.235    -1.235     4.578682126
   173    -2    -2     2    -1.235    -1.235     1.235     4.578682126
   174    -2     2    -2    -1.235     1.235    -1.235     4.578682126
   175    -2     2     2    -1.235     1.235     1.235     4.578682126
   176     2    -2    -2     1.235    -1.235    -1.235     4.578682126
   177     2    -2     2     1.235    -1.235     1.235     4.578682126
   178     2     2    -2     1.235     1.235    -1.235     4.578682126
   179     2     2     2     1.235     1.235     1.235     4.578682126
   180    -3    -2     0    -1.853    -1.235     0.000     4.960238970
   181    -3     0    -2    -1.853     0.000    -1.235     4.960238970
   182    -3     0     2    -1.853     0.000     1.235     4.960238970
   183    -3     2     0    -1.853     1.235     0.000     4.960238970
   184    -2    -3     0    -1.235    -1.853     0.000     4.960238970
   185    -2     0    -3    -1.235     0.000    -1.853     4.960238970
   186    -2     0     3    -1.235     0.000     1.853     4.960238970
   187    -2     3     0    -1.235     1.853     0.000     4.960238970
   188     0    -3    -2     0.000    -1.853    -1.235     4.960238970
   189     0    -3     2     0.000    -1.853     1.235     4.960238970
   190     0    -2    -3     0.000    -1.235    -1.853     4.960238970
   191     0    -2     3     0.000    -1.235     1.853     4.960238970
   192     0     2    -3     0.000     1.235    -1.853     4.960238970
   193     0     2     3     0.000     1.235     1.853     4.960238970
   194     0     3    -2     0.000     1.853    -1.235     4.960238970
   195     0     3     2     0.000     1.853     1.235     4.960238970
   196     2    -3     0     1.235    -1.853     0.000     4.960238970
   197     2     0    -3     1.235     0.000    -1.853     4.960238970
   198     2     0     3     1.235     0.000     1.853     4.960238970
   199     2     3     0     1.235     1.853     0.000     4.960238970
   200     3    -2     0     1.853    -1.235     0.000     4.960238970
   201     3     0    -2     1.853     0.000    -1.235     4.960238970
   202     3     0     2     1.853     0.000     1.235     4.960238970
   203     3     2     0     1.853     1.235     0.000     4.960238970
   204    -3    -2    -1    -1.853    -1.235    -0.618     5.341795814
   205    -3    -2     1    -1.853    -1.235     0.618     5.341795814
   206    -3    -1    -2    -1.853    -0.618    -1.235     5.341795814
   207    -3    -1     2    -1.853    -0.618     1.235     5.341795814
   208    -3     1    -2    -1.853     0.618    -1.235     5.341795814
   209    -3     1     2    -1.853     0.618     1.235     5.341795814
   210    -3     2    -1    -1.853     1.235    -0.618     5.341795814
   211    -3     2     1    -1.853     1.235     0.618     5.341795814
   212    -2    -3    -1    -1.235    -1.853    -0.618     5.341795814
   213    -2    -3     1    -1.235    -1.853     0.618     5.341795814
   214    -2    -1    -3    -1.235    -0.618    -1.853     5.341795814
   215    -2    -1     3    -1.235    -0.618     1.853     5.341795814
   216    -2     1    -3    -1.235     0.618    -1.853     5.341795814
   217    -2     1     3    -1.235     0.618     1.853     5.341795814
   218    -2     3    -1    -1.235     1.853    -0.618     5.341795814
   219    -2     3     1    -1.235     1.853     0.618     5.341795814
   220    -1    -3    -2    -0.618    -1.853    -1.235     5.341795814
   221    -1    -3     2    -0.618    -1.853     1.235     5.341795814
   222    -1    -2    -3    -0.618    -1.235    -1.853     5.341795814
   223    -1    -2     3    -0.618    -1.235     1.853     5.341795814
   224    -1     2    -3    -0.618     1.235    -1.853     5.341795814
   225    -1     2     3    -0.618     1.235     1.853     5.341795814
   226    -1     3    -2    -0.618     1.853    -1.235     5.341795814
   227    -1     3     2    -0.618     1.853     1.235     5.341795814
   228     1    -3    -2     0.618    -1.853    -1.235     5.341795814
   229     1    -3     2     0.618    -1.853     1.235     5.341795814
   230     1    -2    -3     0.618    -1.235    -1.853     5.341795814
   231     1    -2     3     0.618    -1.235     1.853     5.341795814
   232     1     2    -3     0.618     1.235    -1.853     5.341795814
   233     1     2     3     0.618     1.235     1.853     5.341795814
   234     1     3    -2     0.618     1.853    -1.235     5.341795814
   235     1     3     2     0.618     1.853     1.235     5.341795814
   236     2    -3    -1     1.235    -1.853    -0.618     5.341795814
   237     2    -3     1     1.235    -1.853     0.618     5.341795814
   238     2    -1    -3     1.235    -0.618    -1.853     5.341795814
   239     2    -1     3     1.235    -0.618     1.853     5.341795814
   240     2     1    -3     1.235     0.618    -1.853     5.341795814
   241     2     1     3     1.235     0.618     1.853     5.341795814
   242     2     3    -1     1.235     1.853    -0.618     5.341795814
   243     2     3     1     1.235     1.853     0.618     5.341795814
   244     3    -2    -1     1.853    -1.235    -0.618     5.341795814
   245     3    -2     1     1.853    -1.235     0.618     5.341795814
   246     3    -1    -2     1.853    -0.618    -1.235     5.341795814
   247     3    -1     2     1.853    -0.618     1.235     5.341795814
   248     3     1    -2     1.853     0.618    -1.235     5.341795814
   249     3     1     2     1.853     0.618     1.235     5.341795814
   250     3     2    -1     1.853     1.235    -0.618     5.341795814
   251     3     2     1     1.853     1.235     0.618     5.341795814
   252    -4     0     0    -2.471     0.000     0.000     6.104909502
   253     0    -4     0     0.000    -2.471     0.000     6.104909502
   254     0     0    -4     0.000     0.000    -2.471     6.104909502
   255     0     0     4     0.000     0.000     2.471     6.104909502
   256     0     4     0     0.000     2.471     0.000     6.104909502
   257     4     0     0     2.471     0.000     0.000     6.104909502
   258    -4    -1     0    -2.471    -0.618     0.000     6.486466346
   259    -4     0    -1    -2.471     0.000    -0.618     6.486466346
   260    -4     0     1    -2.471     0.000     0.618     6.486466346
